GID_2,fips,RUCC_2013,rucc_grouped,pop_size,perc_african_american,perc_latino_hispanic,perc_unemployed,perc_graduated,perc_urban_pop,entropy_coloc,entropy_sci,extroversion_coloc,extroversion_sci,proximity_rep_coloc,proximity_dem_coloc,proximity_rep_sci,proximity_dem_sci,proximity_rep_comm,proximity_dem_comm,proximity_rep_res,proximity_dem_res,perc_nv_rep,perc_nv_dem,n_swing,n_swing_0820,segregation_off,segregation_on,segregation_res
USA.18.77_1,21159,9,4,11394.0,0.053361418290328,0.016763208706337,0.074248674130819,0.089857407,0.0,0.1747247771603028,0.2431233602126712,0.3494,0.5825,0.8296,0.1412999999999999,0.8121,0.148,0.8549,0.128,0.7301,0.257,0.8687,0.1148,0,0,0.8750158287957452,0.8864090131203651,0.7402582881422262
USA.18.78_1,21161,6,3,17103.0,0.061802023036894,0.021458223703444,0.037112010796221,0.14242733,0.46509999999999996,0.1842696815191176,0.3102177701097804,0.442,1.2316,0.6713,0.2955,0.6715,0.2762,0.6741,0.303,0.3574,0.5906,0.661,0.3155,0,0,0.6771558819804989,0.6947375926982315,0.34539050707217533
USA.18.79_1,21145,5,2,67394.0,0.103881651185565,0.027109238211117,0.038816583488273,0.20952822,0.7318000000000001,0.3106848278816426,0.4762367955688283,1.4016,3.3258,0.6854,0.2736,0.6599,0.2553,0.6744,0.3005,0.4123,0.5303,0.656,0.3183,0,0,0.6999493478536153,0.7013690815744438,0.40979482305585063
USA.18.80_1,21147,9,4,17044.0,0.064245482281155,0.013846514902605,0.069120119559126,0.079854988,0.0,0.1682158734338909,0.2166099309881659,0.3025,0.3688,0.8255000000000001,0.1456,0.8080999999999999,0.1462,0.8373,0.149,0.7288,0.2577,0.8491,0.1383,0,0,0.8696973534253515,0.8848402738163148,0.7391401576563985
USA.18.81_1,21149,3,1,9182.0,0.013069048137661,0.018078849923764,0.061045784338254,0.098120354,0.0,0.1341376028758722,0.2523306241796559,0.2265,0.5393,0.698,0.2648,0.6825,0.2611,0.7137,0.2621,0.3456,0.6116,0.7147,0.2607,0,0,0.7134987970115233,0.7133485453508271,0.3270531671046011
USA.18.82_1,21163,3,1,29735.0,0.037800571716832,0.038540440558265,0.048647152446197,0.11672905,0.094,0.2125611946787468,0.427260973780837,0.4211,1.3113,0.6601,0.2914,0.6345,0.2685,0.6779000000000001,0.2945,0.4389,0.496,0.6783,0.2941,0,0,0.6726605039888565,0.673844837421563,0.443841896349304
USA.18.83_1,21165,9,4,6149.0,0.001626280696048,0.029598308668076,0.054327808471455,0.1052641,0.0,0.2247817479535494,0.2937295848697701,0.5326,1.028,0.6638,0.2986,0.6651,0.2882,0.6737000000000001,0.3042,0.2148,0.7797,0.6798,0.299,0,1,0.6704444725845258,0.6816172276098118,0.15994856599765195
USA.18.84_1,21167,6,3,22470.0,0.03787271918113,0.031330663106364,0.05296549072383,0.1686662,0.4324,0.1950807829669932,0.3402614808639051,0.4038,0.8791,0.6946,0.2695,0.6698,0.2601,0.7055,0.2697,0.4265,0.5251,0.7141,0.2611,0,0,0.7083702671900721,0.7050057045065601,0.42064068876837923
USA.18.85_1,21169,9,4,10275.0,0.020729927007299,0.015377128953771,0.03320619250617,0.071002759,0.0,0.1962644013353593,0.2799084589169323,0.4555,0.8826,0.7250999999999999,0.2384,0.7208,0.2283,0.7351,0.2423,0.481,0.4799,0.7284,0.2488,0,0,0.7473724199062934,0.7640473474044496,0.4763794934868899
USA.18.86_1,21171,8,4,11269.0,0.021208625432603,0.032123524713817,0.043672360248447,0.11405269,0.0,0.1448228341063462,0.2363516694395686,0.2502,0.5477,0.8105,0.1623,0.7887,0.1736,0.8345,0.1517,0.8477,0.1285,0.8394,0.147,0,0,0.8496264404204128,0.851468910439247,0.8778442444233243
USA.18.87_1,21173,6,3,28084.0,0.027239709443099,0.029696624412477,0.067646581127172,0.15085976,0.4951,0.2213184374980318,0.3925318191847188,0.5126,2.0024,0.6605,0.305,0.6497,0.289,0.6627000000000001,0.3131,0.3401,0.6152,0.6702,0.3065,0,0,0.6643028998353805,0.6700656018254422,0.3219656733940851
USA.18.88_1,21175,9,4,13772.0,0.033691548068545,0.012924774905606,0.042356838618079,0.11457133,0.0,0.2432191792415189,0.2957748948128389,0.6302,1.2241,0.7011999999999999,0.2645,0.6868,0.268,0.7145,0.2647,0.1546,0.8374,0.737,0.2429,0,0,0.7157148284158541,0.7114945807187678,0.09403477385810921
USA.18.89_1,21177,6,3,31011.0,0.044919544677695,0.016703750282158,0.058805323429279,0.10177132,0.36479999999999996,0.1915948723472847,0.335525577302419,0.3601,0.8429,0.6813999999999999,0.282,0.6666,0.2673999999999999,0.6950000000000001,0.2844,0.2836,0.6745,0.6886,0.2913,0,0,0.6920982651639862,0.6975185396463206,0.2572259182646615
USA.18.90_1,21179,6,3,46440.0,0.051270456503015,0.022975882859604,0.037895463766239,0.15237887,0.37829999999999997,0.225070076745433,0.379376009851703,0.4561,1.1649,0.6331,0.3252,0.6221,0.2975,0.6507999999999999,0.3252,0.376,0.5508,0.6323,0.343,0,0,0.6341648727364821,0.6443240159726183,0.37803991725834407
